content1,content2,relation
"当地时间14日,法国外交部长勒德里昂与乌克兰外长库列巴通电话。法国外交部在随后发布的一份新闻公报中表示,在双方的电话会谈中,勒德里昂向库列巴表示,决定将法国驻乌克兰大使馆由利沃夫迁回首都基辅。 2022年3月,受俄乌冲突影响,法国驻乌克兰大使馆临时迁往乌西部城市利沃夫。","当地时间14日,乌克兰总统泽连斯基在社交媒体平台上表示,他与法国总统马克龙通了电话,双方讨论了俄乌谈判进程等问题。 马克龙早些时候曾表示,他计划在不久的将来与泽连斯基和普京通电话。 当地时间14日,法国外交部长勒德里昂与乌克兰外长库列巴通电话。法国外交部在随后发布的一份新闻公报中表示,在双方的电话会谈中,勒德里昂向库列巴表示,决定将法国驻乌克兰大使馆由利沃夫迁回首都基辅。 2022年3月,受俄乌冲突影响,法国驻乌克兰大使馆临时迁往乌西部城市利沃夫。",无关系
"近来,一些美国议员打着“用于重建乌克兰”的旗号,不断呼吁拍卖或清盘因制裁被扣押冻结的俄罗斯资产。 ",美总统国家安全事务助理:美国不打算返还俄企业家被扣押资产。,递进关系
"俄国防部:将继续打击抵达乌克兰的外国雇佣军 当地时间3月13日,俄罗斯国防部表示,当天俄军高精度远程武器打击了乌克兰武装力量在斯塔利奇村和亚沃洛夫斯基训练场的训练中心,多达180名外国雇佣兵和一大批外国武器被摧毁。 俄国防部表示,将继续打击抵达乌克兰的外国雇佣军。","俄罗斯国防部15日表示,俄军“消灭了30名为乌克兰军队战斗的波兰雇佣兵”。 根据俄罗斯国防部的说法,俄战略火箭部队在对离哈尔科夫市不远的一个村庄的一次袭击中,“消灭了多达30名波兰雇佣兵”。",因果关系
"德国副总理兼经济与气候保护部长哈贝克 当地时间15日,德国副总理兼经济与气候保护部长哈贝克表示,正在争取增加对乌克兰的武器供应。 哈贝克当天在接受德国媒体采访时强调:“必须提供更多的武器,我们不能让乌克兰孤军奋战,他们也是在为我们而战。”与此同时,他还支持德国向乌克兰提供重型武器,表示,德国有义务通过运送武器来支持他们。 据悉,截至目前,德国向乌克兰提供的武器援助中并未包括战斗机和坦克等重型武器。","当地时间15日,德国副总理兼经济与气候保护部长哈贝克表示,正在争取增加对乌克兰的武器供应。 哈贝克当天在接受德国媒体采访时强调:“必须提供更多的武器,我们不能让乌克兰孤军奋战,他们也是在为我们而战。”与此同时,他还支持德国向乌克兰提供重型武器,表示,德国有义务通过运送武器来支持他们。 据悉,截至目前,德国向乌克兰提供的武器援助中并未包括战斗机和坦克等重型武器。",无关系
"当地时间15日,俄罗斯外交部发言人扎哈罗娃表示,俄方将对北马其顿驱逐6名俄罗斯外交官一事作出回应。","当地时间25日,俄罗斯外交部召见德国驻俄大使,对德国驱逐俄罗斯外交官表示抗议。作为对等回应,俄罗斯外交部宣布驱逐40名德国外交官。",顺承关系
"俄罗斯外交部已向美国发出照会,警告美国和北约向乌克兰运送武器的行为是在加剧俄乌冲突,并可能带来“不可预测的后果”。","扎哈罗娃表示,俄外交部确实发出了照会,当被问及类似照会还发送给了哪些国家时,扎哈罗娃回答说“发送给了所有国家”。",顺承关系
"当地时间16日,俄罗斯宣布对英国首相进行制裁。 ","克里姆林宫表示,俄罗斯在乌克兰的行动按计划进行。 ",无关系
"当地时间16日,俄罗斯宣布对英国首相进行制裁。","乌克兰马里乌波尔,俄乌冲突持续,港口满目苍夷。",无关系
"当地时间16日,俄罗斯宣布对英国首相进行制裁。 ",泽连斯基还在Telegram上发布了几张自己与布林肯和奥斯汀会面的照片。 ,无关系
"当地时间16日,俄罗斯宣布对英国首相进行制裁。 ","俄罗斯布良斯克石油基地火灾仍在持续 2022-04-26 07:35 澎湃影像 当地时间2022年4月25日,俄罗斯西部城市布良斯克的一处石油基地发生火灾。根据紧急情况部门透露的消息,事故未导致人员伤亡,暂时没有疏散附近居民的必要。布良斯克市民当晚在社交媒体发布的视频显示,当地油库的火灾仍在持续,同时有市民反映空气中异味严重。 ",无关系
"当地时间16日,俄罗斯宣布对英国首相进行制裁。 ","当地时间4月28日,乌克兰24频道援引联合国驻乌克兰人道主义事务协调办事处消息联合国秘书长古特雷斯抵达位于乌克兰基辅州的博罗江卡。 ",无关系
"当地时间4月16日,据美国白宫官员消息,美国为乌克兰提供的最新一批价值8亿美元的军事援助物资“已经开始抵达”,其中包括11架米-17直升机、18门155毫米榴弹炮以及300架“弹簧刀”无人机等军备。截至目前,连同美国总统拜登最新批准的8亿美元援助物资,美国向乌克兰提供的军事援助总额已超过30亿美元。","俄罗斯外交部已向美国发出照会,警告美国和北约向乌克兰运送武器的行为是在加剧俄乌冲突,并可能带来“不可预测的后果”。",顺承关系
