file_name_1,file_name_2,content_1,content_2
177.txt,180.txt,乌克兰国家安全与国防委员会已要求在乌全国范围内实施紧急状态,其中不包括乌东部顿涅茨克州和卢甘斯克州。
185.txt,1435.txt,"当地时间23日,美国白宫发言人普萨基表示,美国政府在任何情况都不会向乌克兰派兵与俄罗斯作战。",",当地时间21日,俄罗斯国防部发言人科纳申科夫表示,俄罗斯的导弹部队和炮兵部队过去一天打击了乌克兰的1001个军事目标。"
185.txt,1478.txt,"当地时间23日,美国白宫发言人普萨基表示,美国政府在任何情况都不会向乌克兰派兵与俄罗斯作战。",",俄罗斯国防部发言人科纳申科夫当地时间24日表示,俄军过去一天打击了乌克兰423个军事目标。"
185.txt,1528.txt,"当地时间23日,美国白宫发言人普萨基表示,美国政府在任何情况都不会向乌克兰派兵与俄罗斯作战。"," 据俄罗斯卫星通讯社消息,当地时间27日,俄罗斯国防部发言人科纳申科夫表示,自俄在乌特别军事行动以来,俄军已摧毁乌克兰近2600辆装甲车。"
192.txt,194.txt,俄罗斯总统普京当地时间24日宣布在顿巴斯地区开展军事行动,以保卫顿涅茨克和卢甘斯克的人民。
192.txt,195.txt,俄罗斯总统普京24日宣布将在顿巴斯地区开展军事行动,该地区局势骤然紧张。欧洲航空管理局正紧急告知航空公司和其他民用航班远离乌克兰领空。
192.txt,197.txt,俄罗斯总统普京宣布在顿巴斯地区进行特别军事行动后,国际油价7年多来首次突破100美元大关。
192.txt,207.txt,"俄罗斯总统普京24日宣布对乌克兰顿巴斯地区采取特别军事行动后,",欧盟委员会主席冯德莱恩称将对俄实施“有史以来最严厉制裁”。
192.txt,690.txt,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰超3900处军事目标。
192.txt,849.txt,"俄罗斯总统普京当地时间24日宣布在顿巴斯地区开展军事行动,以保卫顿涅茨克和卢甘斯克的人民。",",俄罗斯总统新闻秘书佩斯科夫当地时间22日表示,俄方希望能够与乌克兰进行内容更丰富的谈判。"
192.txt,887.txt,在俄罗斯对乌克兰开展特别军事行动一个月后,乌克兰总统泽连斯基当地时间24日呼吁北约向乌克兰提供军事援助。
192.txt,1112.txt,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰近2000辆坦克等装甲战车。
200.txt,210.txt,"从2月24日起,乌克兰局势急剧恶化,一些城市已经发生爆炸事件,军事行动已在展开。乌安全风险陡然上升。",中国驻乌使馆提醒在乌中国公民和中资企业注意安全。
219.txt,326.txt,"俄罗斯国防部发言人科纳申科夫24日在记者会上表示,根据俄联邦武装部队最高统帅普京24日的决定,俄罗斯武装部队对顿巴斯地区发动特种军事行动。目前俄武装部队已摧毁74个乌克兰地面军事基础设施。", 俄罗斯国防部发言人科纳申科夫27日在通报俄军在乌克兰的特别军事行动最新结果时参与军事行动的俄罗斯军人中有伤亡。这是俄国防部首次公布俄军伤亡情况。通报还迄今俄军已摧毁1067个乌克兰军事设施目标。
222.txt,235.txt,乌克兰国家边防警卫队当地时间24日晚在社交媒体上发布声明位于黑海的乌克兰岛屿蛇岛已被俄罗斯军队占领。,",当地时间24日,美国拜登政府高级官员在新闻发布会上俄罗斯通过白俄罗斯进入乌克兰的军队距离基辅约20英里。"
222.txt,911.txt,乌克兰国家边防警卫队当地时间24日晚在社交媒体上发布声明位于黑海的乌克兰岛屿蛇岛已被俄罗斯军队占领。,",乌克兰武装部队当地时间25日乌方24日在别尔江斯克袭击和摧毁的俄罗斯登陆舰是“萨拉托夫”号。"
229.txt,3056.txt,"当地时间25日,据中国驻乌克兰大使馆官网乌克兰国内局势急剧恶化,中国在乌公民和中资企业处于较高安全风险。使馆表示,为准备分批包机接返有关事宜,现开始人员登记。搭乘包机根据自愿原则。包机派出时间根据飞行安全情况确定,届时将提前通知。","中国驻乌克兰大使馆微信公众号2月25日凌晨发布中国公民登记撤离的紧急通知:当前,乌克兰国内局势急剧恶化,在乌公民和中资企业处于较高安全风险。为准备分批包机接返有关事宜,现开始人员登记。搭乘包机根据自愿原则。包机派出时间根据飞行安全情况确定,届时将提前通知。登记时间截止到当地时间2月27日周日晚12点,登记人员须持有中国护照或旅行证。后续安排请第一时间关注使馆发布的通知。"
229.txt,4299.txt,"当地时间25日,据中国驻乌克兰大使馆官网乌克兰国内局势急剧恶化,中国在乌公民和中资企业处于较高安全风险。使馆表示,为准备分批包机接返有关事宜,现开始人员登记。搭乘包机根据自愿原则。包机派出时间根据飞行安全情况确定,届时将提前通知。","中国驻乌克兰大使馆的通知说,当前乌克兰国内局势急剧恶化,我在乌公民和中资企业处于较高安全风险。 为准备分批包机接返有关事宜,现开始人员登记。 搭乘包机根据自愿原则。包机派出时间根据飞行安全情况确定,届时将提前通知。"
235.txt,727.txt,"当地时间24日,美国拜登政府高级官员在新闻发布会上俄罗斯通过白俄罗斯进入乌克兰的军队距离基辅约20英里。",",美国一位官员当地时间15日美国总统拜登预计将于16日宣布向乌克兰提供额外8亿美元的军事援助。"
235.txt,1442.txt,"当地时间24日,美国拜登政府高级官员在新闻发布会上俄罗斯通过白俄罗斯进入乌克兰的军队距离基辅约20英里。",",当地时间21日,美国总统拜登在白宫发表讲话美国将再向乌克兰提供8亿美元的军事援助。他还美国将禁止与俄罗斯有关的船只进入该国港口。"
235.txt,1443.txt,"当地时间24日,美国拜登政府高级官员在新闻发布会上俄罗斯通过白俄罗斯进入乌克兰的军队距离基辅约20英里。",",当地时间21日,美国总统拜登在白宫就乌克兰局势发表讲话,他宣布向乌克兰政府提供另外5亿美元的经济援助。"
235.txt,1469.txt,"当地时间24日,美国拜登政府高级官员在新闻发布会上俄罗斯通过白俄罗斯进入乌克兰的军队距离基辅约20英里。",",乌克兰总统泽连斯基在当地时间23日表示,美国国务卿布林肯和防长奥斯汀将于24日访问基辅。"
241.txt,290.txt,"当地时间25日早上,乌克兰总统泽连斯基再次发表视频讲话,他再度呼吁西方盟友帮助乌克兰,并第二次批评其盟友“远观”。",",26日,俄罗斯与乌克兰的军事冲突进入第三天。当日,乌克兰总统泽连斯基发表视频讲话,称乌克兰已抵御并击退俄攻势,他还动员本国国民继续抵抗,并积极寻求国际社会支持。"
241.txt,702.txt,"当地时间25日早上,乌克兰总统泽连斯基再次发表视频讲话,他再度呼吁西方盟友帮助乌克兰,并第二次批评其盟友“远观”。",",当地时间15日,在乌克兰的记者听到乌克兰首都基辅市传出几次强烈爆炸声。目前暂不清楚爆炸原因。"
241.txt,1393.txt,"当地时间25日早上,乌克兰总统泽连斯基再次发表视频讲话,他再度呼吁西方盟友帮助乌克兰,并第二次批评其盟友“远观”。",",当地时间18日,美国白宫新闻秘书普萨基重申,总统拜登没有前往乌克兰的计划。此前,乌克兰总统泽连斯基他希望拜登能够访问乌克兰。"
241.txt,1442.txt,"当地时间25日早上,乌克兰总统泽连斯基再次发表视频讲话,他再度呼吁西方盟友帮助乌克兰,并第二次批评其盟友“远观”。",",当地时间21日,美国总统拜登在白宫发表讲话美国将再向乌克兰提供8亿美元的军事援助。他还美国将禁止与俄罗斯有关的船只进入该国港口。"
241.txt,1443.txt,"当地时间25日早上,乌克兰总统泽连斯基再次发表视频讲话,他再度呼吁西方盟友帮助乌克兰,并第二次批评其盟友“远观”。",",当地时间21日,美国总统拜登在白宫就乌克兰局势发表讲话,他宣布向乌克兰政府提供另外5亿美元的经济援助。"
249.txt,465.txt,"地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",俄罗斯国防部发言人5日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰2037处军事设施目标。"
249.txt,614.txt,"地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",当地时间11日,俄罗斯国防部发言人伊戈尔·科纳申科夫表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰超3200处军事目标。"
249.txt,690.txt,"地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",俄罗斯国防部发言人伊戈尔·科纳申科夫当地时间14日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰超3900处军事目标。"
249.txt,882.txt,"地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",当地时间24日,俄罗斯国防部发言人科纳申科夫在记者会上表示,俄罗斯武装部队专家发现了五角大楼参与在乌克兰的生物武器开发的新事实。"
249.txt,1072.txt,"当地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",当地时间1日,俄罗斯国防部发言人科纳申科夫表示,自特别军事行动展开以来,俄军已摧毁乌克兰124架飞机和81架直升机。"
249.txt,1112.txt,"当地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",俄罗斯国防部发言人伊戈尔·科纳申科夫当地时间4日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰近2000辆坦克等装甲战车。"
249.txt,1415.txt,"当地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",俄罗斯国防部发言人伊戈尔·科纳申科夫20日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰近500架无人机。"
249.txt,1435.txt,"当地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。",",当地时间21日,俄罗斯国防部发言人科纳申科夫表示,俄罗斯的导弹部队和炮兵部队过去一天打击了乌克兰的1001个军事目标。"
249.txt,1528.txt,"当地时间25日,俄罗斯国防部发言人科纳申科夫表示,在特别军事行动中,俄武装部队已摧毁乌方118个地面军事基础设施。"," 据俄罗斯卫星通讯社消息,当地时间27日,俄罗斯国防部发言人科纳申科夫表示,自俄在乌特别军事行动以来,俄军已摧毁乌克兰近2600辆装甲车。"
251.txt,3091.txt,"当地时间25日,乌克兰总统办公室主任米哈伊尔·波多利雅克发表声明乌方已准备好与俄罗斯开启谈判,但乌方需要得到更多安全保证。","当地时间25日,乌克兰总统办公室主任米哈伊尔·波多利雅克发表声明乌方已准备好与俄罗斯开启谈判,但乌方需要得到安全保证。 声明表示,乌克兰政府一直为谈判预留着空间,应该结束正在发生的战事。"
271.txt,277.txt," 当地时间26日凌晨,乌克兰首都基辅连续发生多起爆炸,基辅以南重镇瓦西里基夫发生激烈战斗。目前,美国政府已经准备好帮助乌克兰总统泽连斯基撤离基辅。"," 当地时间26日,乌克兰首都基辅爆发激战,俄军正在从多个方向持续向基辅市区推进。稍早前,美方表示已经准好帮助乌总统泽连斯基从基辅撤离,但泽连斯基予以了回绝。"
272.txt,5337.txt," 据美国白宫官网消息,白宫当地时间25日发布官方声明美国总统拜登签署备忘录,授权美国国务院向乌克兰提供6亿美元援助,其中35亿美元用于国防需求。","美国务卿布林肯宣布向乌克兰提供35亿美元军事援助 2月26日援引CNN消息,美国国务卿安东尼·布林肯表示,他已获得授权,美国将向乌克兰提供35亿美元的新军事援助。一揽子计划将帮助乌克兰应对其现在面临的地面、空中和其他威胁。白宫当地时间25日发布官方声明美国总统拜登签署备忘录,授权美国国务院向乌克兰提供6亿美元援助,其中35亿美元用于国防需求。"
288.txt,737.txt,"俄罗斯总统新闻秘书佩斯科夫26日表示,乌克兰方面已拒绝和谈,俄方的军事行动将继续,主力部队继续推进。",",俄罗斯总统新闻秘书佩斯科夫表示,俄罗斯对美国总统拜登实施制裁,并不意味着拒绝进行高层接触。"
288.txt,849.txt,"俄罗斯总统新闻秘书佩斯科夫26日表示,乌克兰方面已拒绝和谈,俄方的军事行动将继续,主力部队继续推进。",",俄罗斯总统新闻秘书佩斯科夫当地时间22日表示,俄方希望能够与乌克兰进行内容更丰富的谈判。"
288.txt,1102.txt,"俄罗斯总统新闻秘书佩斯科夫26日表示,乌克兰方面已拒绝和谈,俄方的军事行动将继续,主力部队继续推进。"," 据俄罗斯卫星网3日消息,俄罗斯总统新闻秘书佩斯科夫针对俄乌局势表示,俄罗斯在乌克兰的特别军事行动目标将全面实现。"
288.txt,1464.txt,"俄罗斯总统新闻秘书佩斯科夫26日表示,乌克兰方面已拒绝和谈,俄方的军事行动将继续,主力部队继续推进。",",俄罗斯国防部发言人科纳申科夫当地时间23日表示,俄军过去一天打击了乌克兰超1000个军事目标。"
288.txt,1478.txt,"俄罗斯总统新闻秘书佩斯科夫26日表示,乌克兰方面已拒绝和谈,俄方的军事行动将继续,主力部队继续推进。",",俄罗斯国防部发言人科纳申科夫当地时间24日表示,俄军过去一天打击了乌克兰423个军事目标。"
297.txt,303.txt,"当地时间26日,美国和欧盟、英国及加拿大等发表联合声明,宣布禁止俄罗斯的几家主要银行使用环球同业银行金融电讯协会国际结算系统,作为针对俄罗斯的最新制裁手段。",",环球银行间金融通信协会 国际结算系统表示,准备在未来几天实施西方国家针对俄罗斯某些银行的新措施。"
297.txt,3186.txt,",当地时间26日,美国和欧盟、英国及加拿大等发表联合声明,宣布禁止俄罗斯的几家主要银行使用环球同业银行金融电讯协会国际结算系统,作为针对俄罗斯的最新制裁手段。","当地时间2月26日,美国和欧盟、英国及加拿大发表联合声明,宣布禁止俄罗斯的几家主要银行使用环球同业银行金融电讯协会国际结算系统,作为针对俄罗斯的最新制裁手段,同时对俄罗斯央行实施“限制性措施”,防止俄罗斯央行以可能破坏制裁的方式部署其国际储备。 根据几国共同发表的联合声明,最新的制裁手段将确保切断俄罗斯银行与国际金融体系的联系,“损害它们在全球经营的能力”。这意味着俄罗斯银行将无法与境外银行进行安全有效的沟通。"
300.txt,356.txt," 美国白宫26日发表一份美欧联合声明为应对俄罗斯在乌克兰境内采取军事行动,决定将部分俄罗斯银行排除出环球银行金融电信协会支付系统。"," 美国国务院当地时间2月28日发表声明说,鉴于俄罗斯军队对乌克兰采取的军事行动,建议美国公民立即离开俄罗斯。"
300.txt,365.txt," 美国白宫26日发表一份美欧联合声明为应对俄罗斯在乌克兰境内采取军事行动,决定将部分俄罗斯银行排除出环球银行金融电信协会支付系统。"," 美国财政部当地时间28日宣布,为应对俄罗斯在乌克兰采取的军事行动,将冻结俄罗斯中央银行在美国的资产。"
304.txt,778.txt,",据乌克兰首都基辅的一家医院当地时间26日晚上,发生在基辅西部地区的枪击事件造成一名6岁男孩死亡,另有几人受伤。",",乌克兰西部城市利沃夫市长当地时间18日上午,俄罗斯的几枚导弹袭击了利沃夫的一家飞机维修厂。"
304.txt,1469.txt,",据乌克兰首都基辅的一家医院当地时间26日晚上,发生在基辅西部地区的枪击事件造成一名6岁男孩死亡,另有几人受伤。",",乌克兰总统泽连斯基在当地时间23日表示,美国国务卿布林肯和防长奥斯汀将于24日访问基辅。"
311.txt,1442.txt,",当地时间26日播出的一段采访中,美国总统拜登就乌克兰局势表态说,美国有两个选择,一个是与俄罗斯开战,开启“第三次世界大战”,另一个就是制裁俄罗斯。",",当地时间21日,美国总统拜登在白宫发表讲话美国将再向乌克兰提供8亿美元的军事援助。他还美国将禁止与俄罗斯有关的船只进入该国港口。"
311.txt,1443.txt,",当地时间26日播出的一段采访中,美国总统拜登就乌克兰局势表态说,美国有两个选择,一个是与俄罗斯开战,开启“第三次世界大战”,另一个就是制裁俄罗斯。",",当地时间21日,美国总统拜登在白宫就乌克兰局势发表讲话,他宣布向乌克兰政府提供另外5亿美元的经济援助。"
322.txt,3247.txt," 据中国驻乌克兰大使馆网站消息,为便于开展目前危机形势下的各项准备工作,即日起,中国驻乌克兰大使馆开始对已登记中国公民信息进行核对。部分人员护照号码、所处城市等关键信息缺失,将会接到使馆工作人员的问询电话,请务必配合,以免届时对自身造成影响。有关电话不涉及任何财务信息和具体安排。后续事宜请密切关注使馆发布的通知。","2月27日,中国驻乌克兰大使馆网站发布通知:为便于开展目前危机形势下的各项准备工作,即日起,我馆开始对已登记中国公民信息进行核对。部分人员护照号码、所处城市等关键信息缺失,将会接到使馆工作人员的问询电话,请务必配合,以免届时对自身造成影响。有关电话不涉及任何财务信息和具体安排。后续事宜请密切关注使馆发布的通知。"
330.txt,4312.txt," 联合国安理会27日举行会议,表决通过了美国等提出的要求就乌克兰局势举行紧急特别联大的第2623号决议。中国常驻联合国代表张军大使出席会议,在表决中投了弃权票,并就中方投票立场作解释性发言。","中国常驻联合国代表:联合国行动应有利于推动外交解决乌克兰危机 联合国安理会27日举行会议,表决通过了美国等提出的要求就乌克兰局势举行紧急特别联大的第2623号决议。中国常驻联合国代表张军出席会议,在相关表决中投了弃权票,并就中方投票立场作解释性发言。 2022-02-28"
335.txt,5397.txt,"援引一名消息人士的话说,“出于人身安全考虑”,乌方代表团不是直接从本国边境进入白俄罗斯,而是绕道波兰,“兜了一个大圈子”。 乌克兰总统办公室27日说,乌克兰将派代表团与俄罗斯方面进行和平谈判,谈判将在普里皮亚季河附近的白俄罗斯与乌克兰边境地区进行。 俄罗斯总统新闻秘书德米特里·佩斯科夫27日早些时候说,乌方同意在白俄罗斯戈梅利州同俄方谈判,俄方对此已做好准备。 俄方代表团27日已经抵达白俄罗斯。代表团团长当天说,俄方正在制订最安全路线以保证乌方代表团安全,并在戈梅利州内选择最佳谈判地点。 戈梅利州与乌克兰和俄罗斯接壤。乌克兰总统弗拉基米尔·泽连斯基27日曾称乌方不愿在白俄罗斯境内与俄方谈判。不过,泽连斯基与白俄罗斯总统亚历山大·卢卡申科通电话后,俄方代表团说乌方已同意到戈梅利谈判。 乌克兰总统办公室强调,谈判不设先决条件。泽连斯基27日晚在同英国首相鲍里斯·约翰逊通电话时表示,“接下来的24小时对乌克兰而言至关重要”。 ","来源:晚在同英国首相鲍里斯·约翰逊通电话时表示,“接下来的24小时对乌克兰而言至关重要”。"
350.txt,3320.txt,"当地时间2月28日,中国驻乌使馆消息基辅当地时间17时第一批留学生从基辅大学红楼出发,前往摩尔多瓦。中国驻乌克兰使馆协调当地警方提供安全护卫。明天还将有大批留学生撤离。 另据我驻摩尔多瓦使馆消息,摩尔多瓦与乌克兰连接的通关口岸主要是摩北部的Ocnita口岸和南部的Palanca口岸,摩方对持有效中国护照自乌出境人员实现临时免签。中国驻摩使馆正在上述两个关口设置中国公民接待站,提供必要协助。摩政府在口岸同时设置帐篷、简易厕所,提供饮用水和食品。 目前入境点排队车辆十分拥堵,中国驻摩使馆提醒有关中国公民遵守摩、乌口岸通关要求,保持良好秩序,入境后自驾车人员可直接前往基希讷乌市安置点,其他人员也可在入境点搭乘使馆准备的大巴。因摩政府接待能力有限,连日来已安置了大量乌难民,目前基希讷乌市的几个安置点已十分拥挤,中国驻摩使馆正在协调有关备用体育场馆。请中国公民充分评估并根据自身情况及时做好选择,同时做好防疫工作。中国驻摩使馆将全力提供协助。 中国驻摩尔多瓦使馆24小时领保协助电话:00373-69124886 ","中国驻摩尔多瓦大使馆28日晚发布《关于从乌克兰撤离的中国公民入境摩尔多瓦有关事宜的通知》。内容如下: 目前,摩尔多瓦与乌克兰连接的通关口岸主要是摩北部的Ocnita口岸和南部的Palanca口岸,摩方对持有效中国护照自乌出境人员实现临时免签。中国驻摩使馆正在上述两个关口设置中国公民接待站,提供必要协助。摩政府在口岸同时设置帐篷、简易厕所,提供饮用水和食品。目前入境点排队车辆十分拥堵,中国驻摩使馆提醒有关中国公民遵守摩、乌口岸通关要求,保持良好秩序,入境后自驾车人员可直接前往基希讷乌市安置点,其他人员也可在入境点搭乘使馆准备的大巴。因摩政府接待能力有限,连日来已安置了大量乌难民,目前基希讷乌市的几个安置点已十分拥挤,中国驻摩使馆正在协调有关备用体育场馆。请中国公民充分评估并根据自身情况及时做好选择,同时做好防疫工作。中国驻摩使馆将全力提供协助。 驻摩尔多瓦使馆24小时领保协助电话:00373-69124886"
352.txt,1371.txt," 欧盟2月28日宣布向乌克兰追加9000万欧元紧急人道主义援助,用于帮助留守国内和前往邻国避难的乌克兰公民。"," 继2月末追加9000万欧元援助,欧盟17日宣布再向乌克兰追加5000万欧元紧急人道主义援助,意在帮助乌克兰偏远地区及前往邻国避难的民众。"
356.txt,365.txt," 美国国务院当地时间2月28日发表声明说,鉴于俄罗斯军队对乌克兰采取的军事行动,建议美国公民立即离开俄罗斯。"," 美国财政部当地时间28日宣布,为应对俄罗斯在乌克兰采取的军事行动,将冻结俄罗斯中央银行在美国的资产。"
